2023-05-02 10:00:42,494 INFO	[6450df49197efff1b6d990] root:734 - CONFIG: remoteUser (str): REMOTE-USER
2023-05-02 10:00:42,494 INFO	[6450df49197efff1b6d990] root:734 - CONFIG: remoteUserMatchExact (int): 0
2023-05-02 10:00:42,494 INFO	[6450df49197efff1b6d990] root:734 - CONFIG: request.show_tracebacks (bool): True
2023-05-02 10:00:42,494 INFO	[6450df49197efff1b6d990] root:734 - CONFIG: response.timeout (int): 7200
2023-05-02 10:00:42,495 INFO	[6450df49197efff1b6d990] root:734 - CONFIG: root_endpoint (str): /
2023-05-02 10:00:42,495 INFO	[6450df49197efff1b6d990] root:734 - CONFIG: rss_endpoint (str): /rss
2023-05-02 10:00:42,495 INFO	[6450df49197efff1b6d990] root:734 - CONFIG: sendStrictTransportSecurityHeader (bool): False
2023-05-02 10:00:42,495 INFO	[6450df49197efff1b6d990] root:734 - CONFIG: server.max_request_body_size (int): 524288000
2023-05-02 10:00:42,495 INFO	[6450df49197efff1b6d990] root:734 - CONFIG: server.socket_host (str): 127.0.0.1
2023-05-02 10:00:42,495 INFO	[6450df49197efff1b6d990] root:734 - CONFIG: server.socket_port (int): 8065
2023-05-02 10:00:42,495 INFO	[6450df49197efff1b6d990] root:734 - CONFIG: server.thread_pool (int): 50
2023-05-02 10:00:42,495 INFO	[6450df49197efff1b6d990] root:734 - CONFIG: serverCert (str): $SPLUNK_HOME/etc/auth/splunkweb/cert.pem
2023-05-02 10:00:42,495 INFO	[6450df49197efff1b6d990] root:734 - CONFIG: serverName (str): 
2023-05-02 10:00:42,495 INFO	[6450df49197efff1b6d990] root:734 - CONFIG: showProductMenu (bool): False
2023-05-02 10:00:42,495 INFO	[6450df49197efff1b6d990] root:734 - CONFIG: showUserMenuProfile (bool): False
2023-05-02 10:00:42,496 INFO	[6450df49197efff1b6d990] root:734 - CONFIG: show_app_context (bool): True
2023-05-02 10:00:42,496 INFO	[6450df49197efff1b6d990] root:734 - CONFIG: simple_error_page (bool): False
2023-05-02 10:00:42,496 INFO	[6450df49197efff1b6d990] root:734 - CONFIG: simplexml_dashboard_create_version (str): 1.1
2023-05-02 10:00:42,496 INFO	[6450df49197efff1b6d990] root:734 - CONFIG: site_packages_path (str): /workspaces/Splunk_installation/splunk/lib/python3.7/site-packages
2023-05-02 10:00:42,496 INFO	[6450df49197efff1b6d990] root:734 - CONFIG: splunk_dashboard_app_name (str): splunk-dashboard-studio
2023-05-02 10:00:42,496 INFO	[6450df49197efff1b6d990] root:734 - CONFIG: splunkdConnectionTimeout (int): 30
2023-05-02 10:00:42,496 INFO	[6450df49197efff1b6d990] root:734 - CONFIG: splunkdTrustedIP (NoneType): None
2023-05-02 10:00:42,496 INFO	[6450df49197efff1b6d990] root:734 - CONFIG: sslVersions (str): tls1.2
2023-05-02 10:00:42,496 INFO	[6450df49197efff1b6d990] root:734 - CONFIG: start_time (float): 1683021642.4816916
2023-05-02 10:00:42,496 INFO	[6450df49197efff1b6d990] root:734 - CONFIG: startwebserver (int): 1
2023-05-02 10:00:42,497 INFO	[6450df49197efff1b6d990] root:734 - CONFIG: staticAssetId (str): 000
2023-05-02 10:00:42,497 INFO	[6450df49197efff1b6d990] root:734 - CONFIG: staticCompressionLevel (int): 9
